Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,BSMD0603-050-12V,Fuse_0603_1608Metric,-189.682,109.7113,90,bottom
J1,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-179.152,111.1138,0,bottom
J2,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-161.3845,58.67,90,bottom
J5,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-172.3345,58.67,-90,bottom
LED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-190.462,45.1938,-114,bottom
LED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.202,71.3125,180,bottom
LED3,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.207,88.2788,180,bottom
LED4,YS-SK6812MINI-E,YS-SK6812MINI-E,-200.2095,105.2988,180,bottom
LED5,YS-SK6812MINI-E,YS-SK6812MINI-E,-218.2195,107.6988,180,bottom
LED6,YS-SK6812MINI-E,YS-SK6812MINI-E,-218.207,90.6688,180,bottom
LED7,YS-SK6812MINI-E,YS-SK6812MINI-E,-218.207,73.6988,180,bottom
LED8,YS-SK6812MINI-E,YS-SK6812MINI-E,-206.982,49.9938,168,bottom
LED9,YS-SK6812MINI-E,YS-SK6812MINI-E,-228.777,52.2738,180,bottom
LED10,YS-SK6812MINI-E,YS-SK6812MINI-E,-236.217,76.0888,180,bottom
LED11,YS-SK6812MINI-E,YS-SK6812MINI-E,-236.2395,93.0488,180,bottom
LED12,YS-SK6812MINI-E,YS-SK6812MINI-E,-236.217,110.0788,180,bottom
LED13,YS-SK6812MINI-E,YS-SK6812MINI-E,-254.187,107.6888,180,bottom
LED14,YS-SK6812MINI-E,YS-SK6812MINI-E,-254.2095,90.6688,180,bottom
LED15,YS-SK6812MINI-E,YS-SK6812MINI-E,-254.187,73.6788,180,bottom
LED16,YS-SK6812MINI-E,YS-SK6812MINI-E,-272.3095,68.9313,180,bottom
LED17,YS-SK6812MINI-E,YS-SK6812MINI-E,-272.3095,85.9288,180,bottom
LED18,YS-SK6812MINI-E,YS-SK6812MINI-E,-272.3095,102.9388,180,bottom
LED19,YS-SK6812MINI-E,YS-SK6812MINI-E,-290.267,102.9388,180,bottom
LED20,YS-SK6812MINI-E,YS-SK6812MINI-E,-290.277,85.9188,180,bottom
LED21,YS-SK6812MINI-E,YS-SK6812MINI-E,-290.257,69.0088,180,bottom
R1,5.1k,R_0402_1005Metric,-186.282,110.4638,-90,bottom
R2,5.1k,R_0402_1005Metric,-171.992,110.4238,-90,bottom
R3,1k,R_0402_1005Metric,-187.3545,95.03,-90,bottom
R4,27,R_0402_1005Metric,-172.8157,98.145,180,bottom
R5,27,R_0402_1005Metric,-172.8157,99.21,0,bottom
R6,1k,R_0402_1005Metric,-172.7344,90.65,0,bottom
R7,10k,R_0402_1005Metric,-172.7344,91.75,0,bottom
SMDSW1,TS-1088R-02026,TS-1088R-02026,-195.5494,109.585,180,bottom
SMDSW2,TS-1088R-02026,TS-1088R-02026,-204.8394,109.585,180,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,-179.8382,95.095,90,bottom
U2,NCP1117LPST33T3G,SOT-223-3_TabPin2,-189.8545,85.78,-90,bottom
U3,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,-189.517,106.6601,0,bottom
U4,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,-178.3045,85.67,0,bottom
Y1,12MHz 18pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,-189.8545,94.8,90,bottom
ZD1,ESD5Z5V0C,D_SOD-523,-187.832,109.7013,90,bottom
rC1,27p,C_0402_1005Metric,-149.3545,101.8276,0,bottom
rC2,27p,C_0402_1005Metric,-147.1945,101.8676,180,bottom
rC3,100n,C_0402_1005Metric,-144.4245,99.57,90,bottom
rC4,100n,C_0402_1005Metric,-149.1045,82.87,-90,bottom
rC5,1u,C_0402_1005Metric,-144.7495,82.87,-90,bottom
rC6,10u,C_0402_1005Metric,-156.4845,94.5,-90,bottom
rC7,100n,C_0402_1005Metric,-145.5045,99.57,90,bottom
rC8,1u,C_0402_1005Metric,-143.1545,83.64,0,bottom
rC9,100n,C_0402_1005Metric,-150.7945,82.88,-90,bottom
rC10,100n,C_0402_1005Metric,-144.0795,91.01,0,bottom
rC11,10u,C_0402_1005Metric,-160.8645,103.87,90,bottom
rC12,100n,C_0402_1005Metric,-143.1645,85.75,0,bottom
rC13,100n,C_0402_1005Metric,-143.1645,84.7,0,bottom
rC14,100n,C_0402_1005Metric,-157.5845,92.49,90,bottom
rC15,100n,C_0402_1005Metric,-148.0195,82.87,-90,bottom
rC16,1u,C_0402_1005Metric,-156.4945,92.49,90,bottom
rD1,1N4148WT,D_SOD-523,-139.717,92.2838,180,bottom
rF1,BSMD0603-050-12V,Fuse_0603_1608Metric,-143.992,109.6813,90,bottom
rJ1,TYPE-C-31-M-13C,TYPE-C-31-M-13C,-154.577,111.1138,0,bottom
rLED1,YS-SK6812MINI-E,YS-SK6812MINI-E,-143.2656,45.2007,114,bottom
rLED2,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.527,71.3125,180,bottom
rLED3,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.537,88.2988,180,bottom
rLED4,YS-SK6812MINI-E,YS-SK6812MINI-E,-133.537,105.3088,180,bottom
rLED5,YS-SK6812MINI-E,YS-SK6812MINI-E,-115.527,107.6888,180,bottom
rLED6,YS-SK6812MINI-E,YS-SK6812MINI-E,-115.527,90.6488,180,bottom
rLED7,YS-SK6812MINI-E,YS-SK6812MINI-E,-115.517,73.6588,180,bottom
rLED8,YS-SK6812MINI-E,YS-SK6812MINI-E,-126.7462,49.9893,-168,bottom
rLED9,YS-SK6812MINI-E,YS-SK6812MINI-E,-104.952,52.2625,180,bottom
rLED10,YS-SK6812MINI-E,YS-SK6812MINI-E,-97.477,76.0188,180,bottom
rLED11,YS-SK6812MINI-E,YS-SK6812MINI-E,-97.4795,93.0488,180,bottom
rLED12,YS-SK6812MINI-E,YS-SK6812MINI-E,-97.477,110.0688,180,bottom
rLED13,YS-SK6812MINI-E,YS-SK6812MINI-E,-79.4595,107.6688,180,bottom
rLED14,YS-SK6812MINI-E,YS-SK6812MINI-E,-79.4595,90.6988,180,bottom
rLED15,YS-SK6812MINI-E,YS-SK6812MINI-E,-79.4495,73.6288,180,bottom
rLED16,YS-SK6812MINI-E,YS-SK6812MINI-E,-61.467,68.9488,180,bottom
rLED17,YS-SK6812MINI-E,YS-SK6812MINI-E,-61.4795,85.9088,180,bottom
rLED18,YS-SK6812MINI-E,YS-SK6812MINI-E,-61.4795,102.9088,180,bottom
rLED19,YS-SK6812MINI-E,YS-SK6812MINI-E,-43.3895,102.9188,180,bottom
rLED20,YS-SK6812MINI-E,YS-SK6812MINI-E,-43.3895,85.9188,180,bottom
rLED21,YS-SK6812MINI-E,YS-SK6812MINI-E,-43.387,68.8988,180,bottom
rR1,5.1k,R_0402_1005Metric,-161.742,110.425,-90,bottom
rR2,5.1k,R_0402_1005Metric,-147.442,110.445,-90,bottom
rR3,1k,R_0402_1005Metric,-148.8845,96.31,180,bottom
rR4,27,R_0402_1005Metric,-146.9395,82.86,90,bottom
rR5,27,R_0402_1005Metric,-145.8395,82.86,-90,bottom
rR6,1k,R_0402_1005Metric,-153.0745,82.92,90,bottom
rR7,10k,R_0402_1005Metric,-151.9145,82.89,90,bottom
rSMDSW1,TS-1088R-02026,TS-1088R-02026,-138.1697,109.597,180,bottom
rSMDSW2,TS-1088R-02026,TS-1088R-02026,-128.8495,109.597,180,bottom
rU1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,-149.2995,90.1825,0,bottom
rU2,NCP1117LPST33T3G,SOT-223-3_TabPin2,-156.9445,99.12,180,bottom
rU3,TPD4E05U06DQAR,USON-10_2.5x1.0mm_P0.5mm,-144.212,106.6601,180,bottom
rU4,W25Q128JVSIQ,SOIC-8_5.23x5.23mm_P1.27mm,-158.4295,85.99,90,bottom
rY1,12MHz 18pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,-148.9945,98.8076,0,bottom
rZD1,ESD5Z5V0C,D_SOD-523,-145.922,109.8513,90,bottom
